Sample in Buffer	Sample in Window	/UB/fft/xn_index	/UB/fft/xn_re	/UB/fft/xn_im	/UB/fft/xk_index	/UB/fft/xk_re	/UB/fft/xk_im
0	0	00D3	2370	00E0	0040	0008	FF64	
1	1	00D4	1F70	1A14	0041	009E	0101	
2	2	00D5	17F6	107E	0042	01E8	00F3	
3	3	00D6	0DCC	2366	0043	0C46	018C	
4	4	00D7	0240	2276	0044	FD2C	013C	
5	5	00D8	769A	2DD2	0045	FE9B	FF84	
6	6	00D9	6BF6	160C	0046	FEE5	FEAE	
7	7	00DA	6356	1BE4	0047	FEE6	FF3B	
8	8	00DB	5DC0	0063	0048	FE7F	0064	
9	9	00DC	5BF4	44C7	0049	0030	FED8	
10	10	00DD	5E0E	7A53	004A	FF2F	FFEC	
11	11	00DE	63EA	6239	004B	FF14	0079	
12	12	00DF	6CC4	4D77	004C	FE90	FFB4	
13	13	00E0	7792	5C71	004D	003B	001A	
14	14	00E1	0334	5F42	004E	FEFF	FFBF	
15	15	00E2	0EA0	5588	004F	FED1	FE1C	
16	16	00E3	1896	6E98	0050	FC83	00E3	
17	17	00E4	1FDE	698E	0051	FD3C	FE7D	
18	18	00E5	23AA	3542	0052	0142	00B4	
19	19	00E6	238A	006C	0053	0039	0072	
20	20	00E7	1FA6	19C6	0054	0045	0000	
21	21	00E8	184A	1068	0055	0056	FF7C	
22	22	00E9	0E5C	2386	0056	FFED	FF9E	
23	23	00EA	02E0	22B0	0057	007B	0094	
24	24	00EB	7714	2E06	0058	00D6	002C	
25	25	00EC	6C4A	1646	0059	FF30	003C	
26	26	00ED	63A4	1C30	005A	FFB7	0001	
27	27	00EE	5DF6	00D3	005B	003E	FF73	
28	28	00EF	5BFC	4545	005C	FFCB	003E	
29	29	00F0	5DEE	7AE7	005D	FFE8	FE7E	
30	30	00F1	6380	62C7	005E	FDCF	FEB5	
31	31	00F2	6C2E	6DC9	005F	0088	FF4F	
32	32	00F3	76D8	5C75	0060	FF0B	0062	
33	33	00F4	0282	5F04	0061	0004	0042	
34	34	00F5	0E0C	5538	0062	00E5	001F	
35	35	00F6	1820	6E40	0063	FF47	FF48	
36	36	00F7	1F88	6924	0064	00A7	FF6D	
37	37	00F8	237E	74C8	0065	FFDB	00AC	
38	38	00F9	23A2	0FEC	0066	0002	0197	
39	39	00FA	1FDA	0968	0067	FFCD	FF55	
40	40	00FB	18B6	1028	0068	0016	0043	
41	41	00FC	0EFC	237E	0069	FF3F	0076	
42	42	00FD	0392	22E0	006A	0114	006E	
43	43	00FE	77B4	2E9A	006B	0136	FE42	
44	44	00FF	6CC8	1710	006C	FF51	018E	
45	45	0000	63F0	1CFA	006D	0105	FFE3	
46	46	0001	5E1E	016F	006E	FFD0	FF9E	
47	47	0002	5BEA	45BF	006F	FF36	FFCA	
48	48	0003	5D94	7B25	0070	0016	005C	
